prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,predicted,correct,predicted_label
8358,2025,Jhonny Level,2B,sa3023898,1,Part-Time,45,0,False,Bench
8435,2025,Juan Brito,2B,sa3009808,1,Part-Time,45,0,False,Bench
8287,2025,Justin Crawford,CF,sa3020240,1,Part-Time,45,0,False,Bench
8283,2025,Kaelen Culpepper,SS,sa3025360,1,Part-Time,45,0,False,Bench
8492,2025,Kahlil Watson,CF,sa3017513,1,Part-Time,45,0,False,Bench
8266,2025,Kevin Alvarez,LF,sa3067677,1,Part-Time,45,2,False,Regular
8375,2025,Lazaro Montes,RF,sa3018409,1,Part-Time,45,2,False,Regular
8441,2025,Luis Lara,CF,sa3018514,1,Part-Time,45,0,False,Bench
8290,2025,LuJames Groover,3B,sa3022887,1,Part-Time,45,0,False,Bench
8291,2025,Luke Dickerson,2B,sa3067329,1,Part-Time,45,0,False,Bench
8298,2025,Malcolm Moore,C,sa3025250,1,Part-Time,45,0,False,Bench
8518,2025,Marek Houston,SS,sa3034152,1,Part-Time,45,0,False,Bench
8377,2025,Mike Sirota,CF,sa3042374,1,Part-Time,45,0,False,Bench
8467,2025,Mikey Romero,3B,sa3020216,1,Part-Time,45,0,False,Bench
8289,2025,Moisés Ballesteros,C,28820,1,Part-Time,45,0,False,Bench
8412,2025,Nathan Martorella,1B,sa3019978,1,Part-Time,45,0,False,Bench
8293,2025,Nelson Rada,CF,sa3018421,1,Part-Time,45,0,False,Bench
8364,2025,Nick Yorke,2B,27504,1,Part-Time,45,0,False,Bench
8307,2025,Owen Caissie,RF,27496,1,Part-Time,45,2,False,Regular
8519,2025,Ralphy Velazquez,1B,sa3023013,1,Part-Time,45,0,False,Bench
8363,2025,Roc Riggio,2B,sa3022750,1,Part-Time,45,0,False,Bench
8385,2025,Ryan Clifford,RF,sa3020126,1,Part-Time,45,2,False,Regular
8295,2025,Sal Stewart,3B,31505,1,Part-Time,45,0,False,Bench
8308,2025,Seaver King,SS,sa3025414,1,Part-Time,45,0,False,Bench
8268,2025,Spencer Jones,CF,sa3019969,1,Part-Time,45,2,False,Regular
8319,2025,Starlyn Caba,SS,sa3021070,1,Part-Time,45,0,False,Bench
8297,2025,Sterlin Thompson,LF,sa3019999,1,Part-Time,45,0,False,Bench
8430,2025,Tai Peete,CF,sa3022966,1,Part-Time,45,2,False,Regular
8489,2025,Tanner Schobel,SS,sa3020009,1,Part-Time,45,0,False,Bench
8390,2025,Termarr Johnson,2B,sa3020214,1,Part-Time,45,0,False,Bench
8352,2025,Theo Gillen,CF,sa3025565,1,Part-Time,45,0,False,Bench
8406,2025,Tommy Troy,SS,sa3022561,1,Part-Time,45,0,False,Bench
8494,2025,Vance Honeycutt,CF,sa3025526,1,Part-Time,45,0,False,Bench
8306,2025,Walker Janek,C,sa3025254,1,Part-Time,45,0,False,Bench
8578,2025,Welbyn Francisca,2B,sa3021087,1,Part-Time,45,0,False,Bench
8413,2025,Wyatt Sanford,SS,sa3066665,1,Part-Time,45,0,False,Bench
8286,2025,Xavier Isaac,1B,sa3020498,1,Part-Time,45,2,False,Regular
8496,2025,Yoeilin Cespedes,2B,sa3021085,1,Part-Time,45,0,False,Bench
8634,2025,Abdias De La Cruz,RF,sa3019401,0,Bench,40,1,False,Part-Time
9035,2025,Alfonsin Rosario,RF,sa3022868,0,Bench,40,1,False,Part-Time
8833,2025,Andres Arias,RF,sa3025145,0,Bench,40,1,False,Part-Time
9038,2025,Andres Valor,CF,sa3021278,0,Bench,40,1,False,Part-Time
8588,2025,Ashly Andujar,SS,sa3023890,0,Bench,40,1,False,Part-Time
8419,2025,Austin Charles,3B,sa3020497,0,Bench,40,2,False,Regular
8785,2025,Austin Overn,CF,sa3025408,0,Bench,40,2,False,Regular
8994,2025,Billy Cook,CF,29573,0,Bench,40,2,False,Regular
9093,2025,Brandon Compton,LF,sa3029229,0,Bench,40,1,False,Part-Time
8663,2025,Brandon Winokur,RF,sa3022613,0,Bench,40,2,False,Regular
8786,2025,Chris Arroyo,RF,sa3026239,0,Bench,40,1,False,Part-Time
8942,2025,Darell Morel,3B,sa3066667,0,Bench,40,1,False,Part-Time
9062,2025,Dean Curley,3B,sa3029706,0,Bench,40,1,False,Part-Time
8828,2025,Deyvison De Los Santos,DH,sa3015168,0,Bench,40,1,False,Part-Time
9209,2025,Elian De La Cruz,RF,sa3067695,0,Bench,40,1,False,Part-Time
9095,2025,Eric Bitonti,1B,sa3022866,0,Bench,40,2,False,Regular
8701,2025,Ernesto Martinez Jr.,1B,sa3003173,0,Bench,40,2,False,Regular
8983,2025,Ethan Petry,1B,sa3039828,0,Bench,40,1,False,Part-Time
8737,2025,Gabriel Davalillo,C,sa3068659,0,Bench,40,1,False,Part-Time
8544,2025,Gabriel Rincones Jr.,LF,sa3020758,0,Bench,40,2,False,Regular
8454,2025,Gavin Fien,RF,sa3069166,0,Bench,40,1,False,Part-Time
8446,2025,George Wolkow,1B,sa3022817,0,Bench,40,2,False,Regular
8584,2025,Jack Gurevitch,1B,sa3032859,0,Bench,40,1,False,Part-Time
9251,2025,James  Quinn-Irons,CF,sa3040344,0,Bench,40,1,False,Part-Time
8484,2025,Jared Thomas,LF,sa3025252,0,Bench,40,1,False,Part-Time
8560,2025,Jhonny Severino,SS,sa3018415,0,Bench,40,2,False,Regular
8417,2025,Jonathon Long,1B,sa3022864,0,Bench,40,1,False,Part-Time
8840,2025,Jordan Sanchez,RF,sa3024112,0,Bench,40,2,False,Regular
8322,2025,Jorge Quintana,3B,sa3024107,0,Bench,40,1,False,Part-Time
9120,2025,José Anderson,RF,sa3024133,0,Bench,40,1,False,Part-Time
8708,2025,Joswa Lugo,SS,sa3023894,0,Bench,40,2,False,Regular
8526,2025,Juan Tomas,SS,sa3067758,0,Bench,40,1,False,Part-Time
8638,2025,Logan Wagner,3B,sa3019932,0,Bench,40,1,False,Part-Time
8524,2025,Luis Suisbel,3B,sa3016717,0,Bench,40,1,False,Part-Time
8968,2025,Max Belyeu,RF,sa3026937,0,Bench,40,1,False,Part-Time
9143,2025,Maykel Coret,RF,sa3067683,0,Bench,40,1,False,Part-Time
8627,2025,Nick Montgomery,C,sa3066457,0,Bench,40,1,False,Part-Time
8510,2025,Omar Alfonzo,C,sa3015665,0,Bench,40,1,False,Part-Time
8374,2025,Orelvis Martinez,3B,25967,0,Bench,40,1,False,Part-Time
9058,2025,Pedro Catuy,CF,sa3021061,0,Bench,40,1,False,Part-Time
8695,2025,Quentin Young,3B,sa3069187,0,Bench,40,1,False,Part-Time
9014,2025,Rafael Flores,C,31991,0,Bench,40,2,False,Regular
8369,2025,Ramon Ramirez,C,sa3021637,0,Bench,40,1,False,Part-Time
8400,2025,Robert Calaz,RF,sa3021078,0,Bench,40,2,False,Regular
8554,2025,Ronny Cruz,SS,sa3067336,0,Bench,40,1,False,Part-Time
8690,2025,Sean Keys,3B,sa3025317,0,Bench,40,1,False,Part-Time
9117,2025,Stiven Martinez,RF,sa3024627,0,Bench,40,1,False,Part-Time
8615,2025,Tony Blanco Jr.,1B,sa3019722,0,Bench,40,2,False,Regular
8456,2025,Victor Arias,CF,sa3015636,0,Bench,40,2,False,Regular
9036,2025,Will Simpson,1B,sa3022530,0,Bench,40,1,False,Part-Time
8956,2025,Yassel Soler,3B,sa3022281,0,Bench,40,2,False,Regular
8535,2025,Yordany De Los Santos,SS,sa3018408,0,Bench,40,2,False,Regular
9201,2025,Antonio Jimenez,SS,sa3034692,0,Bench,35,1,False,Part-Time
9077,2025,Arnaldo Lantigua,LF,sa3021084,0,Bench,35,2,False,Regular
9029,2025,Braylin  Morel,RF,sa3021229,0,Bench,35,2,False,Regular
9127,2025,Brooks Bryan,C,sa3027921,0,Bench,35,1,False,Part-Time
9342,2025,Carson McCusker,RF,33098,0,Bench,35,2,False,Regular
9097,2025,Charles McAdoo,3B,sa3022823,0,Bench,35,1,False,Part-Time
9224,2025,Chase Harlan,3B,sa3067256,0,Bench,35,1,False,Part-Time
9378,2025,Colton Ledbetter,CF,sa3022897,0,Bench,35,2,False,Regular
9306,2025,Daiber De Los Santos,SS,sa3023885,0,Bench,35,2,False,Regular
9048,2025,Darwing Ozuna,RF,sa3068179,0,Bench,35,1,False,Part-Time
9176,2025,Derniche Valdez,SS,sa3021068,0,Bench,35,1,False,Part-Time
8921,2025,Eli Lovich,RF,sa3067332,0,Bench,35,1,False,Part-Time
8948,2025,Ethan  Frey,DH,sa3031717,0,Bench,35,1,False,Part-Time
9022,2025,Gavin Turley,LF,sa3044148,0,Bench,35,1,False,Part-Time
8947,2025,Grant Jay,C,sa3034611,0,Bench,35,1,False,Part-Time
9338,2025,Jared Jones,1B,sa3034881,0,Bench,35,1,False,Part-Time
9383,2025,Jhomnardo Reyes,RF,sa3067700,0,Bench,35,1,False,Part-Time
9426,2025,Joshua Liranzo,3B,sa3021198,0,Bench,35,1,False,Part-Time
8837,2025,Kale Fountain,3B,sa3067321,0,Bench,35,1,False,Part-Time
9262,2025,Landyn Vidourek,CF,sa3044483,0,Bench,35,1,False,Part-Time
9369,2025,Max Williams,RF,sa3045333,0,Bench,35,1,False,Part-Time
9387,2025,Nolan Schubart,LF,sa3041794,0,Bench,35,1,False,Part-Time
9240,2025,Pedro Blanco,1B,sa3023945,0,Bench,35,2,False,Regular
9155,2025,Rio Foster,RF,sa3022491,0,Bench,35,1,False,Part-Time
8692,2025,Ty Harvey,C,sa3069181,0,Bench,35,1,False,Part-Time
9021,2025,Wilfred Veras,RF,sa3015178,0,Bench,35,1,False,Part-Time
9352,2025,Yasser Mercedes,RF,sa3019557,0,Bench,35,2,False,Regular
